message,people,number,name,craft
success,"{'name': 'Zhai Zhigang', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Wang Yaping', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Ye Guangfu', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Raja Chari', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Tom Marshburn', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Kayla Barron', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Matthias Maurer', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Oleg Artemyev', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Denis Matveev', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Sergey Korsakov.', 'craft': 'ISS'}",10.0,,
,,,Zhai Zhigang,Shenzhou 13
,,,Wang Yaping,Shenzhou 13
,,,Ye Guangfu,Shenzhou 13
,,,Raja Chari,ISS
,,,Tom Marshburn,ISS
,,,Kayla Barron,ISS
,,,Matthias Maurer,ISS
,,,Oleg Artemyev,ISS
,,,Denis Matveev,ISS
,,,Sergey Korsakov.,ISS
success,"{'name': 'Zhai Zhigang', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Wang Yaping', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Ye Guangfu', 'craft': 'Shenzhou 13'}",10.0,,
success,"{'name': 'Raja Chari', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Tom Marshburn', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Kayla Barron', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Matthias Maurer', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Oleg Artemyev', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Denis Matveev', 'craft': 'ISS'}",10.0,,
success,"{'name': 'Sergey Korsakov.', 'craft': 'ISS'}",10.0,,
